repeat,implementation,ranks,seconds,krylov,spmv,halo
1,baseline,1,0.4700510659995416,5,15,0
1,baseline,2,0.4563230100002329,16,39,49
1,baseline,4,0.46286630000031437,24,55,65
1,polyhedral,1,0.4517459240005337,5,15,0
1,polyhedral,2,0.45935334600017086,16,39,49
1,polyhedral,4,0.4869960850001007,24,55,65
2,baseline,1,0.4629675930000303,5,15,0
2,baseline,2,0.4359712590003255,16,39,49
2,baseline,4,0.48557225599961384,24,55,65
2,polyhedral,1,0.4336735540000518,5,15,0
2,polyhedral,2,0.4583084450005117,16,39,49
2,polyhedral,4,0.4600794500001939,24,55,65
3,baseline,1,0.4606661460002215,5,15,0
3,baseline,2,0.4042767900000399,16,39,49
3,baseline,4,0.4164598910001587,24,55,65
3,polyhedral,1,0.39715710899963597,5,15,0
3,polyhedral,2,0.48490572799983056,16,39,49
3,polyhedral,4,0.5060808870002802,24,55,65
4,baseline,1,0.4933590930004357,5,15,0
4,baseline,2,0.498396679000507,16,39,49
4,baseline,4,0.48895820300003834,24,55,65
4,polyhedral,1,0.4600703000005524,5,15,0
4,polyhedral,2,0.4935554739995496,16,39,49
4,polyhedral,4,0.5059217519992671,24,55,65
5,baseline,1,0.45663356200020644,5,15,0
5,baseline,2,0.46176747899971815,16,39,49
5,baseline,4,0.4646337459998904,24,55,65
5,polyhedral,1,0.43990744199982146,5,15,0
5,polyhedral,2,0.42914518599991425,16,39,49
5,polyhedral,4,0.4718808440002249,24,55,65
6,baseline,1,0.4626327720006884,5,15,0
6,baseline,2,0.49464766300025076,16,39,49
6,baseline,4,0.4655884240000887,24,55,65
6,polyhedral,1,0.45636608800032263,5,15,0
6,polyhedral,2,0.46532794599988847,16,39,49
6,polyhedral,4,0.4792469150006582,24,55,65
7,baseline,1,0.4540283199994519,5,15,0
7,baseline,2,0.455906323999443,16,39,49
7,baseline,4,0.43830097099998966,24,55,65
7,polyhedral,1,0.4555226570000741,5,15,0
7,polyhedral,2,0.46043498999915755,16,39,49
7,polyhedral,4,0.4707849480000732,24,55,65
