Evidence: /tmp/babelsim-simple-mpi-uif5hk6d
cavity/steady/np1: 4096 cells, 1 converged step(s), 35.95s
cavity/steady/np2: 4096 cells, 1 converged step(s), 25.36s
cavity/steady/np4: 4096 cells, 1 converged step(s), 20.14s
cavity/euler/np1: 4096 cells, 5 converged step(s), 5.12s
cavity/euler/np2: 4096 cells, 5 converged step(s), 3.70s
cavity/euler/np4: 4096 cells, 5 converged step(s), 2.73s
cavity/bdf2/np1: 4096 cells, 5 converged step(s), 5.09s
cavity/bdf2/np2: 4096 cells, 5 converged step(s), 3.81s
cavity/bdf2/np4: 4096 cells, 5 converged step(s), 2.78s
channel/steady/np1: 4340 cells, 1 converged step(s), 46.40s
channel/steady/np2: 4340 cells, 1 converged step(s), 35.35s
channel/steady/np4: 4340 cells, 1 converged step(s), 32.26s
channel/euler/np1: 4340 cells, 5 converged step(s), 18.31s
channel/euler/np2: 4340 cells, 5 converged step(s), 14.33s
channel/euler/np4: 4340 cells, 5 converged step(s), 10.31s
channel/bdf2/np1: 4340 cells, 5 converged step(s), 19.08s
channel/bdf2/np2: 4340 cells, 5 converged step(s), 15.09s
channel/bdf2/np4: 4340 cells, 5 converged step(s), 11.27s
cube/steady/np1: 384 cells, 1 converged step(s), 0.43s
cube/steady/np2: 384 cells, 1 converged step(s), 0.42s
cube/steady/np4: 384 cells, 1 converged step(s), 0.43s
cube/euler/np1: 384 cells, 5 converged step(s), 0.59s
cube/euler/np2: 384 cells, 5 converged step(s), 0.58s
cube/euler/np4: 384 cells, 5 converged step(s), 0.66s
cube/bdf2/np1: 384 cells, 5 converged step(s), 0.60s
cube/bdf2/np2: 384 cells, 5 converged step(s), 0.59s
cube/bdf2/np4: 384 cells, 5 converged step(s), 0.63s
warped/steady/np1: 480 cells, 1 converged step(s), 0.66s
warped/steady/np2: 480 cells, 1 converged step(s), 0.62s
warped/steady/np4: 480 cells, 1 converged step(s), 0.63s
warped/euler/np1: 480 cells, 5 converged step(s), 1.12s
warped/euler/np2: 480 cells, 5 converged step(s), 1.07s
warped/euler/np4: 480 cells, 5 converged step(s), 1.03s
warped/bdf2/np1: 480 cells, 5 converged step(s), 1.12s
warped/bdf2/np2: 480 cells, 5 converged step(s), 1.10s
warped/bdf2/np4: 480 cells, 5 converged step(s), 1.10s
warped4/steady/np1: 480 cells, 1 converged step(s), 0.67s
warped4/steady/np2: 480 cells, 1 converged step(s), 0.62s
warped4/steady/np4: 480 cells, 1 converged step(s), 0.65s
warped4/euler/np1: 480 cells, 5 converged step(s), 1.12s
warped4/euler/np2: 480 cells, 5 converged step(s), 1.07s
warped4/euler/np4: 480 cells, 5 converged step(s), 1.10s
warped4/bdf2/np1: 480 cells, 5 converged step(s), 1.13s
warped4/bdf2/np2: 480 cells, 5 converged step(s), 1.04s
warped4/bdf2/np4: 480 cells, 5 converged step(s), 1.12s
simple_parallel_consistency_test: all states, fields, geometry, and physical times passed
